MCD;S&P;DJ;Wendy;YUM;Starbuck;Coca;Wheat;Oil;Commodity;sugar;Volatilty;War
1;-0,0134;-0,0098;0,0154;0,0130;-0,0046;-0,0004;0,0237;0,0119;0,0070;-0,0069;0,0469;1,0000
1;-0,0001;0,0004;0,0005;0,0084;0,0057;0,0120;0,0171;0,0192;0,0055;-0,0004;0,0379;1,0000
1;0,0106;0,0093;0,0118;0,0134;0,0237;0,0102;-0,0117;0,0000;0,0000;0,0163;-0,0723;1,0000
1;-0,0050;0,0012;0,0142;0,0054;0,0007;0,0015;-0,0043;-0,0117;0,0241;0,0007;0,1374;1,0000
1;-0,0062;-0,0051;-0,0408;-0,0180;-0,0058;-0,0168;0,0144;0,0577;0,0032;0,0258;0,0053;1,0000
0;0,0043;0,0019;-0,0185;-0,0165;-0,0132;-0,0059;0,0279;-0,0069;-0,0082;-0,0019;-0,0599;1,0000
0;0,0052;0,0040;0,0114;0,0123;0,0054;0,0217;-0,0045;-0,0288;0,0002;-0,0240;-0,0572;1,0000
1;0,0063;0,0059;0,0126;-0,0046;-0,0018;-0,0049;-0,0249;-0,0047;0,0102;-0,0048;0,1953;1,0000
1;0,0118;0,0087;-0,0291;-0,0195;0,0052;0,0145;0,0079;0,0434;0,0076;0,0165;-0,1718;1,0000
0;-0,0013;-0,0003;0,0135;-0,0137;0,0134;-0,0483;-0,0173;0,0058;-0,0056;0,0222;-0,0228;1,0000
0;0,0081;0,0039;-0,0041;0,0044;0,0187;0,0029;0,0326;-0,0227;-0,0234;0,0089;-0,0465;1,0000
1;-0,0137;-0,0129;-0,0319;-0,0166;-0,0181;-0,0108;-0,0150;-0,0561;-0,0067;0,0101;0,1156;1,0000
0;0,0001;-0,0022;-0,0181;0,0010;-0,0015;-0,0089;0,0066;0,0046;-0,0093;-0,0258;-0,0665;1,0000
0;-0,0027;-0,0047;-0,0005;0,0069;0,0021;0,0030;0,0429;-0,0217;-0,0127;0,0030;0,2444;1,0000
0;0,0059;0,0035;0,0034;0,0172;-0,0010;-0,0025;-0,0644;-0,0100;0,0040;-0,0172;-0,1864;1,0000
1;0,0002;-0,0020;-0,0117;-0,0164;-0,0090;-0,0103;-0,0013;-0,0210;0,0035;0,0230;-0,0020;1,0000
0;-0,0147;-0,0114;-0,0015;-0,0077;-0,0080;-0,0082;-0,0161;0,0364;-0,0010;0,0042;0,1821;1,0000
